Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level														Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Opulent Breastplate	Heavy Armor	Opulent Chest	---	---	10	1500000	38400	10:40:00	39.06	69500	1.81	1043	5215	2451	294		Blacksmith	25	Master	21	Tailor	18		306	---	---	---	87	---	---	---	---	25	---		Opulent Jewel	---	4	Crystal Lullaby	---	4		---	245	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	9	-61 Iron Spent	22	x1.25 Value Increase	40	-17 Steel Spent	65	Quality Chance x2	100		-5 Jewels Spent	45	-1 Crystal Lullaby Spent	45	+10% Multicraft Chance	45		935	2075	415	2480
Milesian Mail	Heavy Armor	Celtic Attire Mega Pack	---	250	10	685000	38400	10:40:00	17.84	69500	1.81	1043	5215	2451	369		Blacksmith	25	Master	21	Tailor	18		306	---	---	---	87	---	---	---	---	25	---		Deep Coral	---	4	Chronos Crystal	---	3		---	245	15	---	---		---	---		-20% Craft Time Reduction	9	-61 Iron Spent	22	x1.25 Value Increase	40	-17 Steel Spent	65	Quality Chance x2	100		-5 Jewels Spent	45	-1 Deep Coral Spent	45	+10% Multicraft Chance	45		855	1900	380	2480
Celesteel Plate	Heavy Armor	---	85	---	11	1550000	55200	15:20:00	28.08	120000	2.17	1800	9000	2889	366		Blacksmith	27	Master	23	Tailor	20		338	---	---	---	98	---	---	---	---	31	---		Sigil of Might	---	1	Boreal Gale	---	4		---	305	---	---	---		Light	---		-20% Craft Time Reduction	6	-68 Iron Spent	16	Blueprint: Vermilion Guard Plate	28	x1.25 Value Increase	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Boreal Gale Spent	60	+10% Multicraft Chance	60		1095	2435	485	2790
Canid Plate	Heavy Armor	Dog's Fortune Mega Pack	---	300	11	1750000	55200	15:20:00	31.7	120000	2.17	1800	9000	3120	427		Blacksmith	27	Master	23	Tailor	20		338	---	---	---	98	---	---	---	26	---	---		Sigil of Might	---	1	Ghastly Pennant	---	6		76	305	---	---	---		---	Wolf Ferocity		-20% Craft Time Reduction	6	-68 Iron Spent	16	x1.25 Value Increase	28	-20 Steel Spent	45	Quality Chance x2	70		-5 Ether Spent	60	-2 Ghastly Pennant Spent	60	+10% Multicraft Chance	60		1160	2580	515	2790
Fire Nation Armor	Heavy Armor	Fire Nation Superior Pack	---	300	11	1800000	48000	13:20:00	37.5	120000	2.5	1800	9000	3240	461		Blacksmith	27	Master	23	Tailor	20		340	---	---	---	100	---	---	---	---	31	---		Sigil of Might	---	1	Blaze Element	Normal	1		---	305	19	---	---		Fire	---		-40% Craft Time Reduction	6	-68 Iron Spent	16	-20 Steel Spent	28	x1.25 Value Increase	45	Quality Chance x2	70		-6 Jewels Spent	60	+10% Multicraft Chance	60	-1 Blaze Element Spent	60		1175	2615	525	2790
Vermilion Guard Plate	Heavy Armor	---	125	---	12	2400000	94200	26:10:00	25.48	240000	2.55	3600	18000	4293	462		Blacksmith	29	Master	25	Tailor	22		387	---	---	---	113	---	---	---	---	41	---		Sigil of True Might	---	1	Magma Core	---	2		---	385	---	---	---		Fire	Phoenix Immortality		-20% Craft Time Reduction	6	-77 Iron Spent	14	x1.25 Value Increase	26	Blueprint: Balefire Armor	40	Quality Chance x2	60		-8 Jewels Spent	80	-28 Steel Spent	80	+10% Multicraft Chance	80		1350	3000	600	3290
Oni Rōnin Armor	Heavy Armor	Tsukimi Superior Pack	---	350	12	2800000	94200	26:10:00	29.72	240000	2.55	3600	18000	4582	539		Tailor	29	Master	25	Blacksmith	22		---	---	380	---	---	---	110	---	37	---	---		Sigil of True Grace	---	1	Grim Talon	---	4		96	385	---	---	---		Earth	---		-20% Craft Time Reduction	6	-76 Leather Spent	14	x1.25 Value Increase	26	-22 Fabric Spent	40	Quality Chance x2	60		-7 Ether Spent	80	-1 Grim Talon Spent	80	+10% Multicraft Chance	80		1455	3235	645	3290
Tyrant Plate Armor	Heavy Armor	Haunted Castle Mega Pack	---	350	12	3000000	112800	31:20:00	26.6	255000	2.26	3825	19125	5488	605		Blacksmith	30	Master	26	Tailor	23		404	---	---	---	123	---	---	---	---	46	---		Sigil of True Might	---	1	Raw Obsidian	---	3		---	400	25	---	---		Dark	---		-20% Craft Time Reduction	6	-18 Steel Spent	14	x1.25 Value Increase	26	-18 Steel Spent	40	Quality Chance x2	60		-9 Jewels Spent	80	-162 Iron Spent	80	+10% Multicraft Chance	80		1505	3340	670	3465
Lost Warrior's Plate	Heavy Armor	Chronos Ruins Superior Pack	---	350	12	3000000	112800	31:20:00	26.6	255000	2.26	3825	19125	7086	720		Blacksmith	30	Master	26	Tailor	23		404	---	---	101	123	---	---	---	---	---	---		Sigil of True Might	---	1	Crush Claw	---	3		---	400	---	---	0.05		Earth	---		-20% Craft Time Reduction	6	-61 Iron Spent	14	x1.25 Value Increase	26	-25 Steel Spent	40	Quality Chance x2	60		-61 Iron Spent	80	-1 Crush Claw Spent	80	+10% Multicraft Chance	80		1505	3340	670	3465
Balefire Armor	Heavy Armor	---	200	---	13	5200000	171600	47:40:00	30.3	305000	1.78	4575	22875	7680	612		Blacksmith	34	Master	30	Tailor	27		446	---	---	---	---	---	---	---	---	54	6		All-Seeing Eye	---	2	Nightmare Element	Superior	1		---	510	---	---	---		Dark	---		-20% Craft Time Reduction	4	-89 Iron Spent	10	x1.25 Value Increase	18	-14 Jewels Spent	30	Quality Chance x2	45		-1 Essence Spent	100	Component Quality Reduced	100	+10% Multicraft Chance	100		1960	4350	870	4015
Magmacore Plate	Heavy Armor	Void Chest	---	---	13	5750000	192000	53:20:00	29.95	305000	1.59	4575	22875	8374	718		Blacksmith	34	Master	30	Tailor	27		440	---	---	---	---	---	---	---	---	50	6		Outsider's Claw	---	3	Magma Core	---	1		---	598	---	---	---		---	---		-20% Craft Time Reduction	4	-88 Iron Spent	10	x1.25 Value Increase	18	-13 Jewels Spent	30	Quality Chance x2	45		-1 Essence Spent	100	-1 Outsider's Claw Spent	100	+10% Multicraft Chance	100		2040	4530	905	4015
Titan Plate Armor	Heavy Armor	Shop Titans 2023 Mega Pack	---	375	13	5750000	192000	53:20:00	29.95	305000	1.59	4575	22875	8191	714		Blacksmith	34	Master	30	Tailor	27		431	---	---	---	---	---	---	---	---	54	6		Outsider's Claw	---	2	Zirconia Eggshell	---	3		128	510	---	---	---		Light	---		-20% Craft Time Reduction	4	-14 Jewels Spent	10	-86 Iron Spent	18	x1.25 Value Increase	30	Quality Chance x2	45		-2 Zirconia Eggshell Spent	100	-1 Essence Spent	100	+10% Multicraft Chance	100		2055	4565	915	4015
Leather Armor	Light Armor	---	---	---	1	60	15	00:00:15	4	140	9.33	2	10	1	10		Tailor	1	---	---	---	---		---	---	5	---	---	---	---	---	---	---	---		---	---	---	---	---	---		---	8	---	---	---		---	---		Blueprint: Gambeson	7	Blueprint: Leather Cap	18	x1.5 Value Increase	32	Quality Chance x2	50	Quality Chance x3	80		-4 Leather Spent	5	+30% Multicraft Chance	5	Quality Chance x3	5		5	15	5	15
Gambeson	Light Armor	---	1	---	2	190	70	00:01:10	2.71	515	7.36	8	40	10	19		Tailor	2	---	---	---	---		---	---	9	---	---	---	---	---	---	---	---		---	---	---	---	---	---		---	16	---	---	---		---	---		Blueprint: Doublet	8	x1.5 Value Increase	20	-25% Craft Time Reduction	36	Quality Chance x2	55	Quality Chance x3	85		-7 Leather Spent	5	+20% Multicraft Chance	5	Quality Chance x3	5		10	25	5	40
Doublet	Light Armor	---	3	---	3	1100	220	00:03:40	5	1950	8.86	29	145	19	38		Tailor	3	---	---	---	---		---	---	16	---	---	---	---	---	---	---	---		Glow Shroom	---	3	---	---	---		---	32	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Studded Armor	32	-3 Leather Spent	50	Quality Chance x3	80		-1 Glow Shroom Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		25	60	10	90
Studded Armor	Light Armor	---	5	---	4	2500	510	00:08:30	4.9	4600	9.02	69	345	35	62		Tailor	6	---	---	---	---		6	---	26	---	---	---	---	---	---	---	---		Webbed Wing	---	2	---	---	---		---	52	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Hide Armor	32	-5 Leather Spent	50	Quality Chance x2	80		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Webbed Wing Spent	15		40	85	15	165
Blizzard Armor	Light Armor	Winter Festivities Mega Pack	---	100	4	6000	840	00:14:00	7.14	7000	8.33	105	525	56	90		Tailor	8	---	---	---	---		9	---	34	---	---	---	---	---	---	---	---		Silver Dust	---	3	Iron Pine Cone	---	4		16	64	---	---	---		Water	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	-7 Leather Spent	36	-1 Silver Dust Spent	55	Quality Chance x2	85		-2 Iron Spent	15	+10% Multicraft Chance	15	-2 Iron Pine Cone Spent	15		60	130	25	225
Hide Armor	Light Armor	---	10	---	5	8900	1350	00:22:30	6.59	10000	7.41	150	750	81	96		Tailor	10	---	---	---	---		---	---	49	---	---	---	10	---	---	---	---		Living Root	---	3	Elven Wood	---	4		---	80	---	---	---		---	---		-25% Craft Time Reduction	8	x1.25 Value Increase	20	Blueprint: Savage Garb	36	-10 Leather Spent	55	Quality Chance x2	85		-2 Fabric Spent	20	+10% Multicraft Chance	20	-4 Elven Wood Spent	20		70	155	30	295
Mundra's Tabard	Light Armor	The Moon Dragon Pack	10	---	5	33000	1710	00:28:30	19.3	12000	7.02	360	1800	119	240		Moon Dragon	11	---	---	---	---		---	---	60	---	---	---	12	---	---	---	---		Rustwyrm Scale	---	3	Webbed Wing	---	2		97	135	---	---	---		---	---		x1.25 Value Increase	9	-25% Craft Time Reduction	22	Blueprint: Mundra's Scepter	40	-12 Leather Spent	60	Quality Chance x2	95		-2 Fabric Spent	20	+10% Multicraft Chance	20	-2 Webbed Wing Spent	20		95	210	40	335
Sky Pirate Outfit	Light Armor	Airship Riders Pack	---	120	5	18500	1710	00:28:30	10.82	12000	7.02	180	900	119	155		Tailor	11	---	---	---	---		---	---	60	---	---	---	12	---	---	---	---		Webbed Wing	---	8	---	---	---		---	86	---	0.05	---		Air	---		-25% Craft Time Reduction	9	x1.25 Value Increase	22	-1 Webbed Wing Spent	40	-12 Leather Spent	60	Quality Chance x2	95		-2 Fabric Spent	20	+10% Multicraft Chance	20	-1 Webbed Wing Spent	20		100	225	45	335
Savage Garb	Light Armor	---	15	---	6	24500	3300	00:55:00	7.42	18000	5.45	270	1350	349	132		Tailor	14	Master	1	---	---		---	---	99	49	---	---	25	---	---	---	---		Bronze Fang	---	3	Webbed Wing	---	3		---	110	---	---	---		---	Lizard Regeneration		-25% Craft Time Reduction	9	-20 Leather Spent	22	Blueprint: Ninja Garb	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Fabric Spent	25	+10% Multicraft Chance	25	-1 Bronze Fang Spent	25		115	255	50	465
Glade Guard Armor	Light Armor	Limestone Chest	---	---	6	43000	4200	01:10:00	10.24	20500	4.88	308	1540	465	182		Tailor	15	Master	1	---	---		---	---	113	56	---	---	29	---	---	---	---		Horned Helm	Normal	1	White Sand	---	4		---	152	---	---	---		---	Lizard Regeneration		-25% Craft Time Reduction	10	-23 Leather Spent	24	x1.25 Value Increase	44	-11 Herbs Spent	70	Quality Chance x2	110		-6 Fabric Spent	25	+10% Multicraft Chance	25	-1 Horned Helm Spent	25		135	295	60	515
Pumpkin Armor	Light Armor	Halloween Pack	---	140	6	39500	4200	01:10:00	9.4	20500	4.88	308	1540	459	161		Tailor	15	Blacksmith	11	---	---		28	---	113	56	---	---	---	---	---	---	---		Moon Crystal	---	3	Webbed Wing	---	3		29	115	---	---	---		---	---		-25% Craft Time Reduction	10	-23 Leather Spent	24	x1.25 Value Increase	44	-11 Herbs Spent	70	Quality Chance x2	110		-6 Iron Spent	25	+10% Multicraft Chance	25	-3 Webbed Wing Spent	25		145	320	65	515
Ninja Garb	Light Armor	---	25	---	7	86000	7800	02:10:00	11.03	28500	3.65	428	2140	590	168		Tailor	18	Master	14	---	---		---	---	155	---	---	---	39	20	---	---	---		Silk Scarab	---	5	---	---	---		---	140	---	---	---		Dark	---		-25% Craft Time Reduction	10	-31 Leather Spent	24	Blueprint: Windrunner Armor	44	x1.25 Value Increase	70	Quality Chance x2	110		-8 Fabric Spent	30	+10% Multicraft Chance	30	-1 Silk Scarab Spent	30		210	465	95	675
Nightwing Mantle	Light Armor	Halloween Mega Pack	---	160	7	115000	9000	02:30:00	12.78	31500	3.5	473	2365	765	210		Tailor	19	Master	15	---	---		---	---	170	---	---	---	43	22	---	---	---		Evil Eye	---	4	Rustwyrm Scale	---	4		38	150	---	---	---		Dark	---		-25% Craft Time Reduction	12	-34 Leather Spent	30	x1.25 Value Increase	54	-9 Fabric Spent	85	Quality Chance x2	135		-4 Oils Spent	30	-1 Evil Eye Spent	30	+10% Multicraft Chance	30		240	535	105	735
Windrunner Armor	Light Armor	---	35	---	8	205000	13800	03:50:00	14.86	37500	2.72	563	2815	1184	204		Tailor	21	Master	17	---	---		---	---	199	99	---	---	51	---	---	---	---		Studded Armor	Normal	1	Overgrown Vine	---	6		---	170	---	---	---		Air	---		-25% Craft Time Reduction	11	-40 Leather Spent	28	Blueprint: Drakeskin Armor	50	x1.25 Value Increase	80	Quality Chance x2	125		-10 Fabric Spent	35	+10% Multicraft Chance	35	-1 Studded Armor Spent	35		320	710	140	860
Sokka's Outfit	Light Armor	Water & Earth Mega Pack	---	180	8	245000	16800	04:40:00	14.58	41000	2.44	615	3075	922	265		Tailor	21	Master	17	---	---		---	---	214	---	---	---	57	---	---	---	---		Doublet	Normal	1	Chronos Crystal	---	4		---	175	11	---	---		Water	---		-25% Craft Time Reduction	11	x1.25 Value Increase	28	-43 Leather Spent	50	-11 Fabric Spent	80	Quality Chance x2	125		-17 Fabric Spent	35	+10% Multicraft Chance	35	-1 Chronos Crystal Spent	35		345	770	155	925
Drakeskin Armor	Light Armor	---	45	---	9	320000	18000	05:00:00	17.78	48500	2.69	728	3640	1190	234		Tailor	22	Master	18	---	---		---	---	244	---	---	---	67	---	10	---	---		Thread of Fate	---	5	Webbed Wing	---	8		---	195	---	---	---		---	---		-25% Craft Time Reduction	10	-49 Leather Spent	26	Blueprint: Corsair Mantle	46	x1.25 Value Increase	70	Quality Chance x2	110		-2 Ether Spent	40	-1 Thread of Fate Spent	40	+10% Multicraft Chance	40		395	880	175	1065
Smith Attire	Light Armor	Wallace Superior Pack	---	200	9	425000	21600	06:00:00	19.68	52500	2.43	788	3940	1538	287		Tailor	23	Master	19	---	---		---	---	259	---	---	---	72	---	12	---	---		Ghastly Pennant	---	3	Silk Scarab	---	4		51	205	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Leather Spent	26	x1.25 Value Increase	46	-14 Fabric Spent	70	Quality Chance x2	110		-2 Ether Spent	40	-1 Ghastly Pennant Spent	40	+10% Multicraft Chance	40		450	1005	200	1140
Corsair Mantle	Light Armor	---	60	---	10	600000	37800	10:30:00	15.87	65500	1.73	983	4915	2103	282		Tailor	25	Master	21	Blacksmith	18		---	---	306	---	---	---	87	---	19	---	---		Deep Coral	---	4	Thread of Fate	---	4		---	235	---	---	---		Water	---		-20% Craft Time Reduction	9	-61 Leather Spent	22	Blueprint: Everdusk Lord Attire	40	x1.25 Value Increase	65	Quality Chance x2	100		-4 Ether Spent	45	-1 Deep Coral Spent	45	+10% Multicraft Chance	45		800	1780	355	2480
Swan's Garment	Light Armor	Champions Superior Offer	---	250	10	655000	37800	10:30:00	17.33	65500	1.73	983	4915	2352	329		Tailor	25	Master	21	Blacksmith	18		---	---	306	---	---	---	87	---	19	---	---		Precious Shell	---	3	Silk Scarab	---	5		59	235	---	---	---		Air	---		-20% Craft Time Reduction	9	-61 Leather Spent	22	x1.25 Value Increase	40	-17 Fabric Spent	65	Quality Chance x2	100		-4 Ether Spent	45	-1 Silk Scarab Spent	45	+10% Multicraft Chance	45		835	1855	370	2480
Cloudwalker Armor	Light Armor	Year of the Ox Mega Pack	---	250	10	680000	39000	10:50:00	17.44	70500	1.81	1058	5290	2705	363		Tailor	26	Master	22	Blacksmith	19		---	---	322	---	---	---	93	---	22	---	---		Ninja Garb	Normal	1	Deep Coral	---	3		---	240	15	---	---		Air	---		-20% Craft Time Reduction	9	-64 Leather Spent	22	x1.25 Value Increase	40	-19 Fabric Spent	65	Quality Chance x2	100		-4 Ether Spent	45	-2 Deep Coral Spent	45	+10% Multicraft Chance	45		850	1890	380	2635
Everdusk Lord Attire	Light Armor	---	85	---	11	1400000	54000	15:00:00	25.93	115000	2.13	1725	8625	2736	348		Tailor	27	Master	23	Blacksmith	20		---	---	338	---	---	---	98	---	23	---	---		Sigil of Grace	---	1	Grim Talon	---	4		---	290	---	---	---		Dark	---		-20% Craft Time Reduction	6	-68 Leather Spent	16	Blueprint: Dawn Thief Uniform	28	x1.25 Value Increase	45	Quality Chance x2	70		-5 Ether Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1045	2320	465	2790
Opulent Armor	Light Armor	Opulent Chest	---	---	11	3000000	54000	15:00:00	55.56	115000	2.13	1725	8625	3042	348		Tailor	27	Master	23	Blacksmith	20		---	---	338	---	---	---	98	---	---	22	---		Opulent Jewel	---	5	Grim Talon	---	4		---	290	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	-68 Leather Spent	16	x1.25 Value Increase	28	-20 Fabric Spent	45	Quality Chance x2	70		-4 Jewels Spent	60	-1 Opulent Jewel Spent	60	+10% Multicraft Chance	60		1125	2505	500	2790
Barkback's Armor	Light Armor	Troublin Trouble Mega Pack	---	300	11	1650000	54000	15:00:00	30.56	115000	2.13	1725	8625	3995	406		Tailor	27	Master	23	Carpenter	20		---	304	---	169	---	88	---	---	---	---	---		Sigil of Grace	---	1	Boreal Gale	---	3		73	290	---	---	---		Earth	---		-20% Craft Time Reduction	6	-61 Wood Spent	16	x1.25 Value Increase	28	-18 Ironwood Spent	45	Quality Chance x2	70		-1 Boreal Gale Spent	60	-35 Ironwood Spent	60	+10% Multicraft Chance	60		1130	2510	500	2790
Cat Burglar Outfit	Light Armor	Cat's Luck Mega Pack	---	300	11	1750000	64200	17:50:00	27.26	120000	1.87	1800	9000	3479	540		Tailor	27	Master	23	Blacksmith	20		---	---	354	---	---	---	103	---	25	---	---		Sigil of Grace	---	1	Grim Talon	---	3		---	300	---	0.05	---		---	Cat Grace		-20% Craft Time Reduction	6	-71 Leather Spent	16	x1.25 Value Increase	28	-21 Fabric Spent	45	Quality Chance x2	70		-5 Ether Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1160	2580	515	2950
Dawn Thief Uniform	Light Armor	---	125	---	12	2550000	84000	23:20:00	30.36	225000	2.68	3375	16875	4046	438		Tailor	29	Master	25	Blacksmith	22		---	---	387	---	---	---	113	---	31	---	---		Sigil of True Grace	---	1	Rhino Spirit	Superior	1		---	365	---	---	---		Light	---		-20% Craft Time Reduction	6	Component Quality Reduced	14	x1.25 Value Increase	26	Blueprint: Wildhunt Leathers	40	Quality Chance x2	60		-34 Fabric Spent	80	-9 Ether Spent	80	+10% Multicraft Chance	80		1390	3090	620	3290
Shroud of the Lost	Light Armor	Molten Chest	---	---	12	2750000	109800	30:30:00	25.05	240000	2.19	3600	18000	5154	562		Tailor	30	Master	26	Blacksmith	23		---	---	404	---	---	---	123	---	34	---	---		Sigil of True Grace	---	1	Raw Obsidian	---	3		---	468	---	---	---		---	---		-20% Craft Time Reduction	6	-81 Leather Spent	14	x1.25 Value Increase	26	-31 Fabric Spent	40	Quality Chance x2	60		-7 Ether Spent	80	-1 Raw Obsidian Spent	80	+10% Multicraft Chance	80		1420	3150	630	3465
Stylish Poncho	Light Armor	Cinco de Mayo 3 Mega Pack	---	350	12	2800000	91800	25:30:00	30.5	225000	2.45	3375	16875	4528	553		Tailor	29	Master	25	Blacksmith	22		---	---	387	---	---	---	113	---	31	---	---		Sigil of True Grace	---	1	Magma Core	---	2		---	365	23	---	---		---	---		-77 Leather Spent	6	-23 Fabric Spent	14	-6 Ether Spent	26	x1.25 Value Increase	40	Quality Chance x2	60		-20% Craft Time Reduction	80	-23 Fabric Spent	80	+10% Multicraft Chance	80		1455	3235	645	3290
Desperado Outfit	Light Armor	Wild West Mega Pack	---	350	12	2900000	109800	30:30:00	26.41	240000	2.19	3600	18000	5154	532		Tailor	30	Master	26	Blacksmith	23		---	---	404	---	---	---	123	---	34	---	---		Sigil of True Grace	---	1	Crush Claw	---	3		95	380	---	---	---		Fire	---		-25% Craft Time Reduction	6	-81 Leather Spent	14	x1.25 Value Increase	26	-37 Fabric Spent	40	Quality Chance x2	60		-10 Ether Spent	80	-1 Crush Claw Spent	80	+10% Multicraft Chance	80		1480	3290	660	3465
Wildhunt Leathers	Light Armor	---	200	---	13	5350000	156600	43:30:00	34.16	270000	1.72	4050	20250	6656	558		Tailor	32	Master	28	Blacksmith	25		---	---	438	---	---	---	---	---	39	---	5		Astral Fabric	---	3	Grim Talon	---	2		---	465	---	---	---		Earth	Chimera Malignity		-20% Craft Time Reduction	4	-131 Leather Spent	10	x1.25 Value Increase	18	-12 Ether Spent	30	Quality Chance x2	45		-2 Essence Spent	100	-1 Astral Fabric Spent	100	+10% Multicraft Chance	100		1985	4410	880	3830
Shirt	Clothes	Tailor	---	---	1	50	15	00:00:15	3.33	135	9	2	10	1	8		Tailor	1	---	---	---	---		---	---	5	---	---	---	---	---	---	---	---		---	---	---	---	---	---		---	7	---	---	---		---	---		Blueprint: Black Robe	4	Blueprint: Leather Armor	10	x1.5 Value Increase	18	Quality Chance x2	30	Quality Chance x3	45		-4 Leather Spent	5	+30% Multicraft Chance	5	Quality Chance x3	5		5	15	5	15
Black Robe	Clothes	---	1	---	2	280	60	00:01:00	4.67	455	7.58	7	35	10	18		Tailor	1	---	---	---	---		---	---	9	---	---	---	---	---	---	---	---		Elven Wood	---	1	---	---	---		---	15	---	---	---		---	---		x1.5 Value Increase	8	Blueprint: Druid's Robe	20	-2 Leather Spent	36	Quality Chance x2	55	Quality Chance x3	85		-1 Elven Wood Spent	5	+20% Multicraft Chance	5	Quality Chance x3	5		15	30	5	40
Druid's Robe	Clothes	---	3	---	3	1100	200	00:03:20	5.5	1700	8.5	26	130	19	36		Tailor	3	---	---	---	---		---	---	16	8	---	---	---	---	---	---	---		Glow Shroom	---	3	---	---	---		---	30	---	---	---		Earth	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Disciple's Robe	32	-3 Leather Spent	50	Quality Chance x3	80		-1 Glow Shroom Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		25	60	10	90
Disciple's Robe	Clothes	---	6	---	4	2550	480	00:08:00	5.31	3950	8.23	59	295	35	58		Tailor	6	---	---	---	---		---	---	26	13	---	---	---	---	---	---	---		Precious Gem	---	2	---	---	---		---	48	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Scholar's Tunic	32	-5 Leather Spent	50	Quality Chance x2	80		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-2 Precious Gem Spent	15		40	85	15	165
Scholar's Tunic	Clothes	---	11	---	5	8800	1260	00:21:00	6.98	8700	6.9	131	655	100	89		Tailor	10	Wizard	1	---	---		---	---	49	---	---	---	10	5	---	---	---		Deep Pearl	---	3	---	---	---		---	74	---	---	---		---	---		-25% Craft Time Reduction	8	-10 Leather Spent	20	Blueprint: Witch's Outfit	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Fabric Spent	20	+10% Multicraft Chance	20	-1 Deep Pearl Spent	20		70	155	30	295
Explorer's Outfit	Clothes	Explorer Pack	---	120	5	15000	1590	00:26:30	9.43	10000	6.29	150	750	119	115		Tailor	11	Wizard	4	---	---		---	---	60	---	---	---	12	---	---	---	---		Living Root	---	4	---	---	---		21	82	---	---	---		---	---		-20% Craft Time Reduction	9	-12 Leather Spent	22	x1.25 Value Increase	40	-20% Craft Time Reduction	60	Quality Chance x2	95		-6 Fabric Spent	20	+10% Multicraft Chance	20	-1 Living Root Spent	20		90	200	40	335
Tailor Mantle	Clothes	Humble Beginnings Pack	---	120	5	21500	2040	00:34:00	10.54	12000	5.88	180	900	150	136		Tailor	12	Wizard	6	---	---		---	---	71	---	---	---	16	---	---	---	---		Rustwyrm Scale	---	5	---	---	---		---	88	6	---	---		---	---		-25% Craft Time Reduction	9	-14 Leather Spent	22	x1.25 Value Increase	40	-3 Fabric Spent	60	Quality Chance x2	95		-3 Fabric Spent	20	-1 Rustwyrm Scale Spent	20	+10% Multicraft Chance	20		110	240	50	375
Witch's Outfit	Clothes	---	15	---	6	24000	3000	00:50:00	8	15500	5.17	233	1165	279	126		Tailor	14	Wizard	10	---	---		---	---	99	---	---	---	25	12	---	---	---		Black Robe	Normal	1	White Sand	---	4		---	105	---	---	---		Dark	---		-25% Craft Time Reduction	9	-20 Leather Spent	22	Blueprint: Midnight Apparel	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Fabric Spent	25	+10% Multicraft Chance	25	-1 White Sand Spent	25		115	255	50	465
Vestal Raiments	Clothes	Limestone Chest	---	---	6	47000	3600	01:00:00	13.06	17500	4.86	263	1315	296	176		Tailor	15	Wizard	11	---	---		---	---	113	---	---	---	29	---	---	---	---		Bronze Fang	---	5	---	---	---		---	147	---	---	---		---	---		-25% Craft Time Reduction	10	-23 Leather Spent	24	x1.25 Value Increase	44	-3 Fabric Spent	70	Quality Chance x2	110		-6 Fabric Spent	25	+10% Multicraft Chance	25	-1 Bronze Fang Spent	25		140	315	65	515
Wizard Attire	Clothes	Mystic Duo Mega Pack	---	140	6	40500	4800	01:20:00	8.44	19500	4.06	293	1465	456	168		Tailor	16	Wizard	12	---	---		---	---	127	---	---	---	33	16	---	---	---		Black Robe	Normal	1	White Sand	---	4		30	120	---	---	---		---	---		-25% Craft Time Reduction	10	-25 Leather Spent	24	x1.25 Value Increase	44	-7 Fabric Spent	70	Quality Chance x2	110		-7 Fabric Spent	25	+10% Multicraft Chance	25	-1 White Sand Spent	25		145	325	65	565
Midnight Apparel	Clothes	---	25	---	7	70000	5400	01:30:00	12.96	22000	4.07	330	1650	379	150		Tailor	17	Wizard	13	---	---		---	---	141	---	---	---	36	---	---	---	---		Scroll of Sparks	Superior	1	Silk Scarab	---	4		---	125	---	---	---		Dark	---		-25% Craft Time Reduction	10	-28 Leather Spent	24	Blueprint: Shaman Vestment	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Fabric Spent	30	+10% Multicraft Chance	30	Component Quality Reduced	30		190	425	85	620
