Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level													Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Eagle Helm	Helmet	Freedom Pack	---	120	5	15,000	1,740	00:29:00	8.62	12,500	7.18	188	940	119	145		Blacksmith	11	Master	1	---	1		60	---	30	---	---	---	---	---	---	---		Deep Pearl	---	3	---	---	---		---	96	6	---	---		Air	Eagle Accuracy		-20% Craft Time Reduction	9	-12 Iron Spent	22	x1.25 Value Increase	40	-20% Craft Time Reduction	60	Quality Chance x2	95		-15 Leather Spent	20	+10% Multicraft Chance	20	-1 Deep Pearl Spent	20		90	200	40	335
Paladin Helm	Helmet	---	15	---	6	26,000	3,300	00:55:00	7.88	18,500	5.61	278	1,390	216	144		Blacksmith	14	Priestess	10	---	4		99	---	---	---	25	---	---	---	---	---		Bronze Fang	---	3	Precious Gem	---	4		---	120	---	---	---		Light	---		-25% Craft Time Reduction	9	-20 Iron Spent	22	Blueprint: Samurai Kabuto	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Steel Spent	25	+10% Multicraft Chance	25	-4 Precious Gem Spent	25		120	265	55	465
Kodiak Helmet	Helmet	Wild Love Mega Pack	---	140	6	37,500	4,200	01:10:00	8.93	21,000	5	315	1,575	296	196		Blacksmith	15	Priestess	11	---	5		113	---	---	---	29	---	---	---	---	---		Moon Crystal	---	3	Elven Wood	---	4		---	130	8	---	---		---	Bear Vitality		-25% Craft Time Reduction	10	-23 Iron Spent	24	x1.25 Value Increase	44	-6 Steel Spent	70	Quality Chance x2	110		-6 Steel Spent	25	+10% Multicraft Chance	25	-2 Elven Wood Spent	25		140	315	65	515
Fire Nation Helm	Helmet	Fire Nation Superior Pack	---	140	6	39,500	4,800	01:20:00	8.23	23,500	4.9	353	1,765	357	196		Blacksmith	16	Tailor	12	---	6		127	---	---	---	33	---	---	---	---	---		White Sand	---	3	Deep Pearl	---	2		35	140	---	---	---		Fire	---		-25% Craft Time Reduction	12	-25 Iron Spent	30	x1.25 Value Increase	54	-10 Steel Spent	85	Quality Chance x2	135		-25% Craft Time Reduction	25	+10% Multicraft Chance	25	Quality Chance x2	25		145	320	65	565
Samurai Kabuto	Helmet	---	25	---	7	86,000	7,800	02:10:00	11.03	29,500	3.78	443	2,215	447	192		Blacksmith	18	Master	14	---	8		155	---	---	---	39	---	---	---	---	---		Star Metal	---	4	Bronze Fang	---	2		---	160	---	---	---		---	---		-25% Craft Time Reduction	10	-31 Iron Spent	24	Blueprint: General Heaume	44	x1.25 Value Increase	70	Quality Chance x2	110		-8 Steel Spent	30	+10% Multicraft Chance	30	-1 Star Metal Spent	30		210	465	95	675
Gladiator Helm	Helmet	Augustus Pack	---	160	7	115,000	9,600	02:40:00	11.98	32,500	3.39	488	2,440	591	259		Blacksmith	19	Master	15	---	9		170	---	---	---	43	---	---	---	---	---		Evil Eye	---	3	Star Metal	---	2		---	170	11	---	---		---	---		-25% Craft Time Reduction	10	-34 Iron Spent	24	x1.25 Value Increase	44	-10% Craft Time Reduction	70	Quality Chance x2	110		-9 Steel Spent	30	+10% Multicraft Chance	30	-1 Evil Eye Spent	30		240	535	105	735
Sandcastle Protector	Helmet	Beach Party Pack	---	160	7	120,000	9,600	02:40:00	12.5	32,500	3.39	488	2,440	591	238		Blacksmith	19	Master	15	---	9		170	---	---	---	43	---	---	---	---	---		White Sand	---	10	---	---	---		43	170	---	---	---		Earth	---		-25% Craft Time Reduction	10	-34 Iron Spent	24	-2 White Sand Spent	44	x1.25 Value Increase	70	Quality Chance x2	110		-1 White Sand Spent	30	+10% Multicraft Chance	30	-2 White Sand Spent	30		250	550	110	735
General Heaume	Helmet	---	35	---	8	185,000	14,400	04:00:00	12.85	39,500	2.74	593	2,965	771	228		Blacksmith	21	Master	17	---	11		199	---	---	---	51	---	---	---	---	7		Ancient Marble	---	6	---	---	---		---	190	---	---	---		---	---		-25% Craft Time Reduction	11	-40 Iron Spent	28	Blueprint: Berserker Helmet	50	x1.25 Value Increase	80	Quality Chance x2	125		-10 Steel Spent	35	+10% Multicraft Chance	35	-1 Ancient Marble Spent	35		305	675	135	860
Crusader Helmet	Helmet	Timeworn Chest	---	---	8	210,000	17,400	04:50:00	12.07	43,000	2.47	645	3,225	1,001	284		Blacksmith	21	Master	17	---	12		214	---	---	---	57	---	---	---	---	8		Star Metal	---	4	Silk Scarab	---	4		---	237	---	---	---		---	---		-25% Craft Time Reduction	11	-43 Iron Spent	28	x1.25 Value Increase	50	-11 Steel Spent	80	Quality Chance x2	125		-11 Steel Spent	35	+10% Multicraft Chance	35	-2 Silk Scarab Spent	35		315	700	140	925
Warlord Helmet	Helmet	Lunar New Year Pack	---	180	8	255,000	21,000	05:50:00	12.14	46,500	2.21	698	3,490	1,168	317		Blacksmith	22	Master	18	---	13		229	---	---	---	62	---	---	---	---	10		Feathered Hat	Normal	2	Chronos Crystal	---	4		---	210	13	---	---		---	---		-25% Craft Time Reduction	11	-46 Iron Spent	28	x1.25 Value Increase	50	-12 Steel Spent	80	Quality Chance x2	125		-12 Steel Spent	35	+10% Multicraft Chance	35	-2 Feathered Hat Spent	35		355	785	155	995
Berserker Helmet	Helmet	---	45	---	9	325,000	18,600	05:10:00	17.47	50,500	2.72	758	3,790	1,224	264		Blacksmith	22	Master	18	---	15		244	---	---	---	67	---	---	---	---	13		Ghastly Pennant	---	4	Rustwyrm Scale	---	10		---	220	---	---	---		---	---		-25% Craft Time Reduction	10	-49 Iron Spent	26	Blueprint: Juggernaut Furnace	46	x1.25 Value Increase	70	Quality Chance x2	110		-3 Jewels Spent	40	-5 Rustwyrm Scale Spent	40	+10% Multicraft Chance	40		400	885	175	1,065
Centurion Helmet	Helmet	Augustus II Superior Pack	---	200	9	425,000	22,200	06:10:00	19.14	55,000	2.48	825	4,125	1,589	322		Blacksmith	23	Master	19	---	16		259	---	---	---	72	---	---	---	---	16		Thread of Fate	---	4	Deep Pearl	---	5		58	230	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Iron Spent	26	x1.25 Value Increase	46	-14 Steel Spent	70	Quality Chance x2	110		-3 Jewels Spent	40	-1 Thread of Fate Spent	40	+10% Multicraft Chance	40		450	1,005	200	1,140
Juggernaut Furnace	Helmet	---	60	---	10	600,000	31,800	08:50:00	18.87	63,500	2	953	4,765	1,909	300		Blacksmith	25	Master	21	Jeweler	18		290	---	---	---	82	---	---	---	---	22		Deep Coral	---	5	Star Metal	---	5		---	250	---	---	---		Fire	---		-20% Craft Time Reduction	10	-58 Iron Spent	26	Blueprint: Celesteel Heaume	46	x1.25 Value Increase	70	Quality Chance x2	110		-4 Jewels Spent	45	-2 Star Metal Spent	45	+10% Multicraft Chance	45		800	1,780	355	2,335
Gobble Lord Helm	Helmet	Thanksgiving Mega Pack	---	250	10	675,000	38,400	10:40:00	17.58	68,500	1.78	1,028	5,140	2,451	392		Blacksmith	25	Master	21	Jeweler	18		306	---	---	---	87	---	---	---	---	25		Precious Shell	---	4	Webbed Wing	---	8		---	260	16	---	---		Air	---		-20% Craft Time Reduction	9	-61 Iron Spent	22	x1.25 Value Increase	40	-17 Steel Spent	65	Quality Chance x2	100		-5 Jewels Spent	45	-8 Webbed Wing Spent	45	+10% Multicraft Chance	45		850	1,885	375	2,480
Opulent Heaume	Helmet	Opulent Chest	---	---	10	1,650,000	38,400	10:40:00	42.97	68,500	1.78	1,028	5,140	2,451	312		Blacksmith	25	Master	21	Jeweler	18		306	---	---	---	87	---	---	---	---	25		Opulent Jewel	---	5	Silk Scarab	---	5		---	260	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	9	-61 Iron Spent	22	x1.25 Value Increase	40	-17 Steel Spent	65	Quality Chance x2	100		-5 Jewels Spent	45	-2 Silk Scarab Spent	45	+10% Multicraft Chance	45		975	2,170	435	2,480
Celesteel Heaume	Helmet	---	85	---	11	1,200,000	54,600	15:10:00	21.98	115,000	2.11	1,725	8,625	2,889	390		Blacksmith	27	Master	23	Jeweler	20		338	---	---	---	98	---	---	---	---	31		Sigil of Might	---	1	Grim Talon	---	3		---	325	---	---	---		Light	---		-20% Craft Time Reduction	6	-68 Iron Spent	16	Blueprint: Vermilion Guard Helm	28	x1.25 Value Increase	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		970	2,155	430	2,790
Canid Helmet	Helmet	Dog Superior Pack	---	300	11	1,400,000	54,000	15:00:00	25.93	115,000	2.13	1,725	8,625	3,061	455		Blacksmith	27	Master	23	Jeweler	20		338	---	---	---	98	---	---	---	23	---		Sigil of Might	---	1	Bo Staff	Normal	3		81	325	---	---	---		---	Wolf Ferocity		-20% Craft Time Reduction	6	-68 Iron Spent	16	x1.25 Value Increase	28	-20 Steel Spent	45	Quality Chance x2	70		-1 Bo Staff Spent	60	-1 Bo Staff Spent	60	+10% Multicraft Chance	60		1,045	2,320	465	2,790
Cupid's Heaume	Helmet	True Love Superior Pack	---	300	11	1,750,000	65,400	18:10:00	26.76	125,000	1.91	1,875	9,375	3,671	513		Blacksmith	27	Master	23	Jeweler	20		354	---	---	---	103	---	---	---	---	34		Sigil of Might	---	1	Zirconia Eggshell	---	3		---	340	21	---	---		---	---		-20% Craft Time Reduction	6	-106 Iron Spent	16	x1.25 Value Increase	28	-21 Steel Spent	45	Quality Chance x2	70		-1 Zirconia Eggshell Spent	60	-7 Jewels Spent	60	+10% Multicraft Chance	60		1,160	2,580	515	2,950
Vermilion Guard Helm	Helmet	---	125	---	12	2,500,000	93,600	26:00:00	26.71	235,000	2.51	3,525	17,625	4,293	492		Blacksmith	29	Master	25	Jeweler	22		387	---	---	---	113	---	---	---	---	41		Sigil of True Might	---	1	Crush Claw	---	2		---	410	---	---	---		Fire	Phoenix Immortality		-20% Craft Time Reduction	6	-77 Iron Spent	14	x1.25 Value Increase	26	-17 Steel Spent	40	Quality Chance x2	60		-8 Jewels Spent	80	-17 Steel Spent	80	+10% Multicraft Chance	80		1,375	3,060	610	3,290
Onyx King Helm	Helmet	Checkmate Mega Pack	---	350	12	2,850,000	93,600	26:00:00	30.45	235,000	2.51	3,525	17,625	4,782	574		Blacksmith	29	Master	25	Jeweler	22		387	---	---	---	113	---	---	---	---	41		Sigil of True Might	---	1	Raw Obsidian	---	3		103	410	---	---	---		Dark	---		-97 Iron Spent	6	-23 Steel Spent	14	x1.25 Value Increase	26	-10 Jewels Spent	40	Quality Chance x2	60		-1 Raw Obsidian Spent	80	-1 Raw Obsidian Spent	80	+10% Multicraft Chance	80		1,465	3,260	650	3,290
Leather Cap	Rogue Hat	---	---	---	1	60	15	00:00:15	4	135	9	2	10	1	10		Tailor	1	---	1	---	1		---	---	5	---	---	---	---	---	---	---		---	---	---	---	---	---		---	8	---	---	---		---	---		Blueprint: Stitched Cone	7	Blueprint: Brimmed Hat	18	-1 Leather Spent	32	Quality Chance x2	50	Quality Chance x3	80		-3 Leather Spent	5	+30% Multicraft Chance	5	Quality Chance x3	5		5	15	5	15
Canopy Cap	Rogue Hat	Wooden Chest	---	---	1	540	70	00:01:10	7.71	495	7.07	7	35	11	37		Tailor	2	---	1	---	1		---	---	9	2	---	---	---	---	---	---		---	---	---	---	---	---		---	31	---	---	---		---	---		x1.25 Value Increase	8	-2 Leather Spent	20	-2 Herbs Spent	36	Quality Chance x2	55	Quality Chance x3	85		-5 Leather Spent	5	+30% Multicraft Chance	5	Quality Chance x3	5		15	30	5	40
Brimmed Hat	Rogue Hat	---	1	---	2	190	70	00:01:10	2.71	495	7.07	7	35	10	19		Tailor	2	---	1	---	1		---	---	9	---	---	---	---	---	---	---		---	---	---	---	---	---		---	16	---	---	---		---	---		x1.5 Value Increase	8	Blueprint: Feathered Hat	20	-2 Leather Spent	36	Quality Chance x2	55	Quality Chance x3	85		-5 Leather Spent	5	+20% Multicraft Chance	5	Quality Chance x3	5		10	25	5	40
Feathered Hat	Rogue Hat	---	3	---	3	860	210	00:03:30	4.1	1,900	9.05	29	145	19	38		Tailor	3	---	1	---	1		---	---	16	---	---	---	---	---	---	---		Glow Shroom	---	2	---	---	---		---	32	---	---	---		---	---		x1.5 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Tricorn	32	-3 Leather Spent	50	Quality Chance x3	80		-1 Glow Shroom Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		25	50	10	90
Tricorn	Rogue Hat	---	6	---	4	2,250	380	00:06:20	5.92	3,450	9.08	52	260	27	53		Tailor	5	---	1	---	1		11	---	21	---	---	---	---	---	---	---		Webbed Wing	---	2	---	---	---		---	44	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Silk Hood	32	-4 Leather Spent	50	Quality Chance x2	80		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Webbed Wing Spent	15		35	80	15	135
Silk Hood	Rogue Hat	---	10	---	5	7,400	1,050	00:17:30	7.05	8,150	7.76	122	610	64	86		Tailor	9	---	1	---	1		---	---	41	---	---	---	8	---	---	---		Leather Cap	Normal	1	Living Root	---	3		---	72	---	---	---		---	---		-25% Craft Time Reduction	8	-8 Leather Spent	20	Blueprint: Pirate Hat	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Fabric Spent	20	+10% Multicraft Chance	20	-1 Living Root Spent	20		65	145	30	260
Santa's Elf Hat	Rogue Hat	Christmas Mega Pack	---	120	5	13,500	1,320	00:22:00	10.23	9,650	7.31	145	725	91	121		Tailor	10	---	1	---	1		---	---	49	---	---	---	10	---	---	---		Deep Pearl	---	3	---	---	---		---	80	5	---	---		---	---		-25% Craft Time Reduction	8	-10 Leather Spent	20	x1.25 Value Increase	36	-2 Fabric Spent	55	Quality Chance x2	85		-20% Craft Time Reduction	20	-1 Deep Pearl Spent	20	+10% Multicraft Chance	20		85	190	40	295
Pharaoh's Nemes	Rogue Hat	Pharaoh Mega Pack	---	120	5	15,000	1,320	00:22:00	11.36	9,650	7.31	145	725	129	112		Tailor	10	---	1	---	1		25	---	49	---	---	---	10	---	---	---		White Sand	---	3	---	---	---		20	80	---	---	---		Dark	---		-25% Craft Time Reduction	8	-12 Leather Spent	20	x1.25 Value Increase	36	-2 Fabric Spent	55	Quality Chance x2	85		-20% Craft Time Reduction	20	-25 Iron Spent	20	+10% Multicraft Chance	20		90	200	40	295
Pirate Hat	Rogue Hat	---	15	---	6	24,000	2,700	00:45:00	8.89	15,000	5.56	225	1,125	173	120		Tailor	13	Master	1	---	1		---	---	85	---	---	---	21	---	---	---		White Sand	---	4	Elven Wood	---	4		---	100	---	---	---		Water	---		-25% Craft Time Reduction	9	-17 Leather Spent	22	Blueprint: Night Cowl	40	x1.25 Value Increase	60	Quality Chance x2	95		-4 Fabric Spent	25	+10% Multicraft Chance	25	-4 Elven Wood Spent	25		115	255	50	420
Lovely Hat	Rogue Hat	Valentine's Day Pack	---	140	6	40,500	3,300	00:55:00	12.27	17,000	5.15	255	1,275	242	167		Tailor	14	Master	1	---	4		---	---	99	---	---	---	25	---	---	---		White Sand	---	4	Silver Dust	---	3		---	110	7	---	---		---	---		-25% Craft Time Reduction	9	-20 Leather Spent	22	x1.25 Value Increase	40	-1 White Sand Spent	60	Quality Chance x2	95		-5 Fabric Spent	25	+10% Multicraft Chance	25	-3 Silver Dust Spent	25		145	325	65	465
Night Cowl	Rogue Hat	---	25	---	7	65,000	6,000	01:40:00	10.83	24,500	4.08	368	1,840	379	162		Tailor	17	Master	13	---	7		---	---	141	---	---	---	36	---	---	---		Silk Scarab	---	3	Moon Crystal	---	3		---	135	---	---	---		Dark	---		-25% Craft Time Reduction	10	-28 Leather Spent	24	Blueprint: Windrunner Hat	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Fabric Spent	30	+10% Multicraft Chance	30	-2 Moon Crystal Spent	30		185	410	80	620
Nomad Veil	Rogue Hat	Ancient Chest	---	---	7	105,000	6,600	01:50:00	15.91	27,000	4.09	405	2,025	502	212		Tailor	18	Master	14	---	8		---	---	155	---	---	---	39	---	---	---		Silk Hood	Normal	1	Silk Scarab	---	4		---	177	---	---	---		---	---		-25% Craft Time Reduction	10	-31 Leather Spent	24	x1.25 Value Increase	44	-8 Fabric Spent	70	Quality Chance x2	110		-1 Silk Scarab Spent	30	+10% Multicraft Chance	30	-1 Silk Scarab Spent	30		220	485	95	675
Harvester's Hood	Rogue Hat	Harvest Season Pack	---	160	7	120,000	9,000	02:30:00	13.33	30,000	3.33	450	2,250	591	210		Tailor	19	Master	15	---	9		---	---	170	---	---	---	43	---	---	---		Evil Eye	---	5	---	---	---		38	150	---	---	---		Dark	---		-25% Craft Time Reduction	10	-34 Leather Spent	24	x1.25 Value Increase	44	-10% Craft Time Reduction	70	Quality Chance x2	110		-9 Fabric Spent	30	+10% Multicraft Chance	30	-1 Evil Eye Spent	30		250	550	110	735
Windrunner Hat	Rogue Hat	---	35	---	8	185,000	13,800	03:50:00	13.41	36,000	2.61	540	2,700	753	204		Tailor	21	Master	17	---	11		---	---	199	50	---	---	---	---	5	---		Overgrown Vine	---	4	Evil Eye	---	4		---	170	---	---	---		Air	---		-25% Craft Time Reduction	11	-40 Leather Spent	28	Blueprint: Drakeskin Mask	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Ether Spent	35	+10% Multicraft Chance	35	-2 Evil Eye Spent	35		305	675	135	860
Blue Spirit Mask	Rogue Hat	Content Pass: Avatar 2021	---	180	8	245,000	16,800	04:40:00	14.58	39,500	2.35	593	2,965	863	245		Tailor	21	Master	17	---	12		---	192	---	---	---	51	---	---	6	---		Chronos Crystal	---	5	Evil Eye	---	2		44	175	---	---	---		Fire	---		-25% Craft Time Reduction	11	-38 Wood Spent	28	-10 Ironwood Spent	50	x1.25 Value Increase	80	Quality Chance x2	125		-6 Ether Spent	35	+10% Multicraft Chance	35	-2 Evil Eye Spent	35		345	770	155	925
Drakeskin Mask	Rogue Hat	---	45	---	9	320,000	20,400	05:40:00	15.69	50,500	2.48	758	3,790	1,375	246		Tailor	23	Master	19	---	16		---	---	259	---	---	---	72	---	12	---		Savage Claws	Normal	1	Ghastly Pennant	---	4		---	205	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Leather Spent	26	Blueprint: Corsair Tricorn	46	x1.25 Value Increase	70	Quality Chance x2	110		-2 Ether Spent	40	-1 Ghastly Pennant Spent	40	+10% Multicraft Chance	40		395	880	175	1,140
Storm Dragon Mask	Rogue Hat	Forsaken Chest	---	---	9	395,000	21,600	06:00:00	18.29	54,500	2.52	818	4,090	1,777	316		Tailor	24	Master	20	---	17		---	---	275	---	---	---	77	---	14	---		Raptoria	Superior	1	Thread of Fate	---	3		---	263	---	---	---		---	---		-25% Craft Time Reduction	10	-55 Leather Spent	26	x1.25 Value Increase	46	-15 Fabric Spent	70	Quality Chance x2	110		-3 Ether Spent	40	Component Quality Reduced	40	+10% Multicraft Chance	40		420	930	185	1,220
Grand Tyrolean	Rogue Hat	Oktoberfest Superior Pack	---	200	9	435,000	25,800	07:10:00	16.86	54,500	2.11	818	4,090	1,777	301		Tailor	24	Master	20	---	17		---	---	275	---	---	---	77	---	14	---		Ghastly Pennant	---	2	Thread of Fate	---	3		54	215	---	---	---		---	---		-20% Craft Time Reduction	10	-55 Leather Spent	26	x1.25 Value Increase	46	-15 Fabric Spent	70	Quality Chance x2	110		-3 Ether Spent	40	-2 Thread of Fate Spent	40	+10% Multicraft Chance	40		455	1,015	205	1,220
Corsair Tricorn	Rogue Hat	---	60	---	10	605,000	30,600	08:30:00	19.77	58,500	1.91	878	4,390	1,835	270		Tailor	25	Master	21	Blacksmith	18		---	---	290	---	---	---	82	---	17	---		Precious Shell	---	4	Spooky Ectoplasm	---	4		---	225	---	---	---		Water	---		-20% Craft Time Reduction	10	-58 Leather Spent	26	Blueprint: Everdusk Cowl	46	x1.25 Value Increase	70	Quality Chance x2	110		-3 Ether Spent	45	-1 Spooky Ectoplasm Spent	45	+10% Multicraft Chance	45		805	1,790	360	2,335
Republic Coiffe	Rogue Hat	Republic Day Mega Pack	---	250	10	625,000	36,600	10:10:00	17.08	63,000	1.72	945	4,725	2,352	357		Tailor	25	Master	21	Blacksmith	18		---	---	306	---	---	---	87	---	19	---		Deep Coral	---	5	---	---	---		---	235	15	---	---		---	---		-20% Craft Time Reduction	9	-61 Leather Spent	22	x1.25 Value Increase	40	-17 Fabric Spent	65	Quality Chance x2	100		-4 Ether Spent	45	-1 Deep Coral Spent	45	+10% Multicraft Chance	45		815	1,815	365	2,480
Everdusk Cowl	Rogue Hat	---	85	---	11	1,250,000	52,800	14:40:00	23.67	110,000	2.08	1,650	8,250	2,736	348		Tailor	27	Master	23	Blacksmith	20		---	---	338	---	---	---	98	---	23	---		Sigil of Grace	---	1	Grim Talon	---	3		---	290	---	---	---		Dark	---		-20% Craft Time Reduction	6	-68 Leather Spent	16	Blueprint: Dawn Thief Cowl	28	x1.25 Value Increase	45	Quality Chance x2	70		-5 Ether Spent	60	-20% Craft Time Reduction	60	+10% Multicraft Chance	60		990	2,195	440	2,790
Abyssal Hood	Rogue Hat	Bleak Chest	---	---	11	1,450,000	52,800	14:40:00	27.46	110,000	2.08	1,650	8,250	3,061	406		Tailor	27	Master	23	Blacksmith	20		---	---	338	---	---	---	98	---	23	---		Sigil of Grace	---	1	Grim Talon	---	3		---	338	---	---	---		---	---		-20% Craft Time Reduction	6	-68 Leather Spent	16	x1.25 Value Increase	28	-20 Fabric Spent	45	Quality Chance x2	70		-5 Ether Spent	60	-20% Craft Time Reduction	60	+10% Multicraft Chance	60		1,045	2,320	465	2,790
Rogue Sombrero	Rogue Hat	Cinco De Mayo 2 Superior Pack	---	300	11	1,500,000	52,800	14:40:00	28.41	110,000	2.08	1,650	8,250	3,061	406		Tailor	27	Master	23	Blacksmith	20		---	---	338	---	---	---	98	---	23	---		Sigil of Grace	---	1	Precious Shell	---	4		73	290	---	---	---		---	---		-20% Craft Time Reduction	6	-68 Leather Spent	16	x1.25 Value Increase	28	-20 Fabric Spent	45	Quality Chance x2	70		-5 Ether Spent	60	-20% Craft Time Reduction	60	+10% Multicraft Chance	60		1,080	2,395	480	2,790
Cat Burglar Hood	Rogue Hat	Cat Superior Pack	---	300	11	1,650,000	58,200	16:10:00	28.35	115,000	1.98	1,725	8,625	3,479	455		Tailor	27	Master	23	Blacksmith	20		---	---	354	---	---	---	103	---	25	---		Sigil of Grace	---	1	Night Cowl	Superior	1		---	300	19	---	---		---	Cat Grace		-20% Craft Time Reduction	6	-71 Leather Spent	16	x1.25 Value Increase	28	Component Quality Reduced	45	Quality Chance x2	70		-21 Fabric Spent	60	-5 Ether Spent	60	+10% Multicraft Chance	60		1,130	2,510	500	2,950
Opulent Sallet	Rogue Hat	Opulent Chest	---	---	11	2,900,000	63,000	17:30:00	46.03	115,000	1.83	1,725	8,625	3,479	360		Tailor	27	Master	23	Blacksmith	20		---	---	354	---	---	---	103	---	25	---		Opulent Jewel	---	5	Zirconia Eggshell	---	3		---	300	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	-71 Leather Spent	16	x1.25 Value Increase	28	-21 Fabric Spent	45	Quality Chance x2	70		-5 Ether Spent	60	-1 Opulent Jewel Spent	60	+10% Multicraft Chance	60		1,110	2,470	495	2,950
Dawn Thief Cowl	Rogue Hat	---	125	---	12	2,650,000	90,000	25:00:00	29.44	220,000	2.44	3,300	16,500	4,046	438		Tailor	29	Master	25	Blacksmith	22		---	---	387	---	---	---	113	---	31	---		Sigil of True Grace	---	1	Raw Obsidian	---	2		---	365	---	---	---		Light	---		-20% Craft Time Reduction	6	-77 Leather Spent	14	x1.25 Value Increase	26	-28 Fabric Spent	40	Quality Chance x2	60		-6 Ether Spent	80	-20% Craft Time Reduction	80	+10% Multicraft Chance	80		1,420	3,150	630	3,290
Bunbun Masquerade	Rogue Hat	Bunbun's Superior Pack	---	350	12	2,850,000	90,000	25:00:00	31.67	220,000	2.44	3,300	16,500	4,362	511		Tailor	29	Master	25	Blacksmith	22		375	---	---	---	110	---	---	---	---	31		Sigil of True Grace	---	1	Crush Claw	---	2		91	365	---	---	---		---	---		Quality Chance x2	6	-20% Craft Time Reduction	14	-56 Iron Spent	26	x1.25 Value Increase	40	-22 Steel Spent	60		-6 Jewels Spent	80	-56 Iron Spent	80	+10% Multicraft Chance	80		1,465	3,260	650	3,290
Dragonseeker Goggles	Rogue Hat	Airship Riders Pack	---	350	12	3,000,000	107,400	29:50:00	27.93	230,000	2.14	3,450	17,250	5,154	576		Tailor	30	Master	26	Blacksmith	23		---	---	404	---	---	---	123	---	---	34		Sigil of True Grace	---	1	Grim Talon	---	4		---	380	24	---	---		Air	---		-20% Craft Time Reduction	6	x1.25 Value Increase	14	-37 Fabric Spent	26	-81 Leather Spent	40	Quality Chance x2	60		-7 Jewels Spent	80	-20% Craft Time Reduction	80	+10% Multicraft Chance	80		1,505	3,340	670	3,465
Stitched Cone	Magician Hat	---	---	---	1	60	15	00:00:15	4	135	9	2	10	1	8		Tailor	1	---	1	---	1		---	---	5	---	---	---	---	---	---	---		---	---	---	---	---	---		---	7	---	---	---		---	---		x1.5 Value Increase	7	Blueprint: Black Cowl	18	-25% Craft Time Reduction	32	Quality Chance x2	50	Quality Chance x3	80		-3 Leather Spent	5	+30% Multicraft Chance	5	Quality Chance x3	5		5	15	5	15
Black Cowl	Magician Hat	---	1	---	2	190	70	00:01:10	2.71	495	7.07	7	35	10	18		Tailor	2	---	1	---	1		---	---	9	---	---	---	---	---	---	---		---	---	---	---	---	---		---	15	---	---	---		---	---		x1.5 Value Increase	8	Blueprint: Druid Laurels	20	-25% Craft Time Reduction	36	Quality Chance x2	55	Quality Chance x3	85		-5 Leather Spent	5	+20% Multicraft Chance	5	Quality Chance x3	5		10	25	5	40
Druid Laurels	Magician Hat	---	3	---	3	690	210	00:03:30	3.29	1,900	9.05	29	145	19	35		Tailor	3	---	1	---	1		---	---	16	4	---	---	---	---	---	---		Glow Shroom	---	1	---	---	---		---	29	---	---	---		Earth	---		x1.5 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Bronze Circlet	32	-3 Leather Spent	50	Quality Chance x3	80		-1 Glow Shroom Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		20	45	10	90
Apprentice Tiara	Magician Hat	Advanced Pack	---	75	3	1,950	290	00:04:50	6.72	2,600	8.97	39	195	23	51		Tailor	3	---	1	---	1		---	---	17	---	---	---	---	---	---	---		Iron Pine Cone	---	2	---	---	---		---	34	2	---	---		---	---		x1.5 Value Increase	7	-3 Leather Spent	18	-25% Craft Time Reduction	32	-1 Iron Pine Cone Spent	50	Quality Chance x3	80		Quality Chance x2	10	+10% Multicraft Chance	10	Quality Chance x3	10		35	75	15	110
